brand,name,price,link
Ulefone ,"S1 - 5.5"", 8GB +1GB, 3G (Dual SIM), Black","5,499",https://www.jumia.co.ke/ulefone-s1-5.5-8gb-1gb-3g-dual-sim-black-10148796.html
Infinix ,"SMART 2 - 13MP+8MP - 16GB - 1GB - FingerPrint - 5.5"" - 4G LTE Dual SIM - Black","7,999",https://www.jumia.co.ke/smart-2-13mp8mp-16gb-1gb-fingerprint-5.5-4g-lte-dual-sim-black-infinix-mpg123786.html
Apple ,"iPhone 4S -3.5'', 16GB+512MB RAM (Refrb Phone), Single SIM - White","4,490",https://www.jumia.co.ke/apple-iphone-4s-3.5-16gb512mb-ram-refrb-phone-single-sim-white-12378633.html
TECNO ,"F1, 8GB + 1GB, (Dual SIM) - Elegant Black","6,098",https://www.jumia.co.ke/f1-8gb1gb-ram-5.0-display-2000mah-battery-dual-sim-backcover-elegant-black-tecno-mpg118709.html
,,,
Apple ,"iPhone Xs Max, 256GB + 4GB (Dual SIM), Gold","155,000",https://www.jumia.co.ke/iphone-xs-max-256gb-4gb-dual-sim-gold-apple-mpg128173.html
TECNO ,"Camon 11, 64GB + 4GB (Dual SIM), Aqua Blue","16,698",https://www.jumia.co.ke/tecno-camon-11-64gb-4gb-dual-sim-aqua-blue-16851061.html
Ulefone ,"S1 Pro, 5.5"",  16GB + 1GB (Dual SIM), 4G - Gold","6,499",https://www.jumia.co.ke/ulefone-s1-pro-5.5-16gb-1gb-dual-sim-4g-gold-11020106.html
Samsung ,"Galaxy A20, 6.4"", 32GB + 3GB (Dual SIM), Black","16,499",https://www.jumia.co.ke/galaxy-a20-6.4-32gb-3gb-dual-sim-black-samsung-mpg154482.html
TECNO ,"Spark 3 (KB7), 6.2"", 16GB + 2GB (Dual SIM), Blue","10,998",https://www.jumia.co.ke/tecno-spark-3-kb7-6.2-16gb-2gb-dual-sim-blue-16775367.html
,,,
Ulefone ,"S10 Pro - 5.7"" - 16GB - 2GB RAM, 4G LTE (Dual SIM), Gold","7,999",https://www.jumia.co.ke/s10-pro-5.7-16gb-2gb-ram-4g-lte-dual-sim-gold-ulefone-mpg135370.html
Sony ,"Xperia Z5 - 5.2"" - 3GB RAM+32GB - Dual SIM - Gold ","13,599",https://www.jumia.co.ke/xperia-z5-dual-5.2-32gb-3gb-ram-23-mp-camera-dual-sim-gold-sony-mpg3315.html
Smart ,SP 5.0 - 5'' - 8GB - 1GB RAM - 8MP Camera (Dual SIM) Gold,"3,999",https://www.jumia.co.ke/sp-5.0-5-8gb-1gb-ram-8mp-camera-dual-sim-gold-smart-mpg126159.html
Xiaomi ,Redmi 6 4G- 5.45 inch- Android 8.1 -  64GB + 4GB RAM 12.0MP + 5.0MP Rear Camera Fingerprint Sensor -Dual Sim (Gold),"15,273",https://www.jumia.co.ke/redmi-6-4g-5.45-inch-android-8.1-64gb-4gb-ram-12.0mp-5.0mp-rear-camera-fingerprint-sensor-dual-sim-gold-xiaomi-mpg154808.html
Infinix ,"Hot 7 (X624B), 32GB + 2GB (Dual SIM), Purple","11,138",https://www.jumia.co.ke/hot-7-x624b-32gb-2gb-dual-sim-blue-infinix-mpg148965.html
,,,
Oukitel ,"C11 Pro, 5.45"", 3GB+16GB (Dual SIM), Blue","7,199",https://www.jumia.co.ke/oukitel-c11-pro-5.45-3gb16gb-dual-sim-blue-14819737.html
Samsung ,Galaxy J4 Core - 16GB+1GB - Dual SIM - Gold,"8,381",https://www.jumia.co.ke/galaxy-j4-core-16gb1gb-dual-sim-gold-samsung-mpg149085.html
Samsung ,"Galaxy A30 - 64GB+4GB Ram, 4000mAh, Dual SIM 4G -Blue","19,598",https://www.jumia.co.ke/galaxy-a30-64gb4gb-ram-4000mah-dual-sim-4g-blue-samsung-mpg151475.html
BlackBerry ,"Z10 Cell Phone 4.2"" inch 2G RAM 16G ROM Mobile Phone - White","5,899",https://www.jumia.co.ke/blackberry-z10-cell-phone-4.2-inch-2g-ram-16g-rom-mobile-phone-white-13095171.html
